year,hires,terminations,net_change,net_change_percent
2000,220,220,0,0.00
2001,1122,1122,0,0.00
2002,1067,1067,0,0.00
2003,1142,1137,5,0.44
2004,1135,1126,9,0.79
2005,1097,1065,32,2.92
2006,1118,1079,39,3.49
2007,1090,1057,33,3.03
2008,1108,1061,47,4.24
2009,1140,1093,47,4.12
2010,1099,1021,78,7.10
2011,1101,1027,74,6.72
2012,1103,1009,94,8.52
2013,1105,1009,96,8.69
2014,1053,965,88,8.36
2015,1059,942,117,11.05
2016,1122,986,136,12.12
2017,1091,957,134,12.28
2018,1147,1018,129,11.25
2019,1083,921,162,14.96
2020,1012,866,146,14.43
